mean	stdev	OPN	EXT	CSN	EST	AGR
0.368984	0.48253	0.074534	0.0553279	-0.15875	0.110655	-0.140836
0.287964	0.452814	0.0639155	0.0728738	-0.102406	0.108721	-0.115608
0.356864	0.479074	-0.0568766	0.0357944	-0.0309086	-0.0872315	-0.0278769
0.177431	0.382033	0.060404	-0.0425239	0.0684079	-0.0380553	0.0460417
0.114916	0.318921	-0.0649397	-0.0546093	0.0521827	-0.0214311	0.0892774
0.0546437	0.227283	-0.0198873	-0.0713987	0.0768209	0.0607146	0.0856474
0.0532343	0.2245	-0.0468161	-0.0354585	0.0929265	0.054135	0.106009
0.101616	0.302143	-0.074463	-0.01611	0.0658041	-0.0197618	0.0850873
0.180761	0.38482	0.0297878	-0.0130794	0.0789446	-0.038059	0.0496337
0.324397	0.468149	-0.0432712	0.0276597	-0.0357377	-0.0815455	-0.0196237
0.328033	0.469497	0.0871755	0.0109883	-0.117554	0.0987924	-0.127207
0.303303	0.459685	0.0565137	0.108654	-0.0631516	0.122281	-0.105642
0.363664	0.481054	-0.058745	0.0409211	-0.0222023	-0.099072	-0.0256516
0.17882	0.383201	0.0705792	-0.0692705	0.0532907	-0.0425828	0.0445826
0.106407	0.308357	-0.0726337	-0.0828465	0.026769	-0.0157937	0.0935408
0.0398467	0.195599	-0.0148527	-0.088412	0.0514264	0.0637401	0.075315
0.0324709	0.177247	-0.0232646	-0.0639138	0.0651566	0.056574	0.0695755
0.103673	0.304835	-0.0795427	-0.0599874	0.054873	-0.012902	0.0730413
0.212418	0.409019	0.0529494	-0.050513	0.0772076	-0.0458948	0.0398581
0.400586	0.490017	-0.0510061	0.0574779	-0.0401281	-0.0790386	-0.0348532
0.240699	0.427508	0.0724871	0.0526474	-0.0961347	0.119535	-0.0797167
0.0482685	0.214333	-0.0475522	-0.0641481	0.0878328	0.0499337	0.111051
0.100144	0.300191	-0.0713445	-0.0446695	0.0715923	-0.0216731	0.0962342
0.157195	0.363985	0.0544678	-0.0335742	0.0854135	-0.0451257	0.0590963
0.371029	0.48308	-0.0348382	0.0396332	-0.0294798	-0.0930433	-0.0215833
0.315641	0.464771	0.0604267	0.0441187	-0.125143	0.122714	-0.137687
0.0329466	0.178497	-0.0248211	-0.0817733	0.0388058	0.0478893	0.0467167
0.0964671	0.295231	-0.0736922	-0.0779621	0.0107873	-0.018049	0.0452042
0.299597	0.458081	0.0552248	-0.073059	0.0293089	-0.0616929	0.0226371
0.343416	0.474849	-0.0370398	0.0796679	-0.0279859	-0.0575047	-0.0316412
0.217542	0.412574	0.0429955	0.0814251	-0.0272955	0.126269	-0.0417662
0.0659867	0.248259	-0.0386014	-0.0691062	0.0919822	0.0486283	-0.0451392
0.169212	0.374939	-0.0825224	-0.0380151	0.0834313	-0.0273037	-0.0562897
0.263873	0.440731	0.0769864	-0.013433	0.0587746	-0.0331006	-0.0412478
0.33962	0.47358	-0.0219437	0.0588739	-0.110185	-0.0342376	0.0456341
0.14754	0.354643	0.0456196	0.0272185	-0.0826392	0.0809554	0.0803176
0.200247	0.400185	0.0915324	0.0131448	-0.0925585	0.0691967	0.105089
0.205575	0.404121	0.00627963	0.0255246	-0.062649	-0.0470536	0.0452132
0.187886	0.390621	0.0685133	0.00278656	0.0313065	-0.0293168	-0.0187444
0.240891	0.427625	-0.0915244	-0.00105917	0.0390092	-0.0456354	-0.050757
0.157306	0.364089	-0.074855	-0.0435412	0.0896533	0.0607664	-0.0860063
0.0197008	0.13897	-0.00757148	-0.0331009	0.06674	0.0357587	-0.00195711
0.0730533	0.260224	-0.0460046	-0.0182935	0.0739736	-0.0125826	-0.0190461
0.160374	0.366952	0.0686377	-0.0252953	0.100926	-0.0370136	-0.0258333
0.374373	0.483961	-0.0404968	0.0185809	-0.0157924	-0.0861469	-0.0061387
0.364776	0.481367	0.014506	0.0205218	-0.122165	0.111016	0.0361827
0.211231	0.408182	0.0725877	0.0721184	-0.0895467	0.0914034	0.137161
0.287903	0.452786	-0.0158108	0.0549641	-0.0533811	-0.0638453	0.0480724
0.227169	0.419003	0.0527313	-0.0209155	0.0472379	-0.0398505	-0.0506986
0.181377	0.385331	-0.0924339	-0.0532416	0.0545311	-0.0264357	-0.0854722
0.0838428	0.277152	-0.0340179	-0.0892416	0.0687476	0.0660805	-0.0853928
0.218417	0.413172	-0.102359	-0.0802589	0.110502	0.0432784	-0.0661062
0.27238	0.445185	-0.0709927	-0.00174016	0.0139724	-0.0574257	-0.02599
